group,duration
test,1552
test,1531
control,1507
control,1507
test,1432
control,1543
test,1355
control,1700
test,1513
test,1936
control,1194
control,1141
control,1881
test,1488
test,1800
test,1476
control,1663
control,1487
control,1947
test,1407
test,1344
control,1450
test,1350
control,1297
test,1533
test,1411
test,1858
control,1425
control,1164
control,1382
test,1642
test,1482
test,1842
test,2027
control,1600
test,1526
test,990
test,1499
control,1681
control,2034
test,1515
test,1727
test,1520
test,724
control,1365
control,1110
test,1036
test,1449
test,1831
test,1828
control,1285
test,1209
control,2226
control,1830
test,1247
test,1391
control,1514
control,1629
control,1413
control,1300
test,1724
test,1158
test,1357
test,1131
test,1800
test,1459
test,1350
test,1532
control,1905
test,1360
control,1191
test,1019
test,1319
control,1714
control,1447
control,1547
test,1221
test,1593
test,1201
control,1572
test,1626
test,2308
control,955
test,1171
control,1744
control,2055
test,1837
test,1554
test,1851
test,1966
test,1656
test,1559
control,1652
test,1632
control,1112
control,1858
test,1493
test,1044
test,1084
test,951
control,1609
test,1536
test,1806
control,1347
test,1538
control,1164
test,1339
control,1072
test,1925
control,1245
test,1832
test,1431
test,1429
control,1254
control,1178
control,1429
test,1857
test,1547
control,1618
control,1309
test,1177
test,1927
test,1050
test,1838
test,1861
control,1212
control,1104
test,1973
control,1536
control,1135
test,1437
test,1354
test,1452
test,1249
test,1172
control,1172
test,1405
test,1586
test,876
control,2186
control,1427
control,1836
control,1985
control,1584
test,1315
control,1581
control,1197
control,2161
control,1403
test,1296
test,976
test,1698
control,1496
control,1840
control,1239
test,1936
test,1511
test,2018
control,1714
control,1328
control,1187
control,1570
test,1700
control,1520
control,2136
control,1898
test,1673
control,1768
test,986
test,1460
test,1222
control,793
control,1185
test,1453
test,1604
test,1700
control,1942
test,1444
test,1413
control,1033
test,1685
control,1469
control,1172
control,1810
test,1375
test,1208
test,1426
test,1727
test,1146
test,1577
control,1716
control,1726
control,1932
control,1341
test,1405
test,1563
test,1779
control,1130
control,1603
test,1364
control,1781
test,1186
test,1506
control,1889
control,1487
test,1484
control,1018
test,1550
control,1741
control,1569
control,1760
control,1449
control,1598
control,1500
control,1398
test,1794
control,1344
control,1935
test,1907
control,1974
test,1418
test,1438
test,2095
test,1317
test,1179
control,2029
control,1132
test,1161
test,1489
test,1497
test,1297
test,1295
test,1266
control,1556
control,1323
control,1677
test,1475
test,1257
test,1635
control,1594
test,956
control,1466
test,1755
control,1493
control,1170
control,1172
test,1910
control,1319
control,1811
control,1743
test,1369
control,1360
control,1278
control,1792
test,1484
test,1999
control,1454
test,1384
test,2172
control,1412
control,1743
test,1501
control,1760
control,1599
control,1214
test,1079
control,1696
control,1954
control,1390
test,1099
test,1889
control,783
test,1327
control,1571
control,1031
control,1867
control,1564
test,1907
test,1914
test,851
control,1764
test,949
control,1322
test,1999
test,1042
control,1309
control,1706
test,1701
test,1574
control,1339
test,1211
test,1225
control,1522
test,1477
control,668
control,1328
test,762
control,1470
test,1930
control,1518
control,1239
test,734
test,1523
control,1931
control,1474
control,1792
test,1182
test,1242
control,1004
control,1413
control,1510
test,2183
control,1326
test,1824
control,1969
control,1267
control,1505
test,1699
test,1721
control,1916
test,1581
control,1380
control,1537
control,1450
control,1660
control,1142
test,1223
control,1802
test,1725
test,1269
control,1047
control,1571
control,1725
control,1846
test,1709
control,1459
test,1631
control,1344
control,1744
test,1304
test,1645
control,2002
test,1370
control,1402
control,1478
test,1894
test,1543
control,1971
test,1735
test,1520
test,1535
control,1407
control,1508
control,1585
control,1420
control,1884
test,1230
control,1506
test,1577
test,1381
control,1949
control,1850
control,1069
control,1927
test,928
test,1451
control,1681
control,1630
control,1303
test,1664
test,1657
test,1257
control,1675
test,2113
test,1629
control,882
test,1727
control,1767
test,707
test,1497
control,1318
control,1683
test,1221
test,1681
control,1898
test,1464
control,1442
test,1782
control,1359
control,1720
control,1613
control,1783
test,1758
control,1329
test,1823
control,1101
test,1562
control,1595
test,1583
control,1451
test,1648
test,1375
test,1341
control,1171
control,1832
control,1758
test,2003
test,1284
control,1601
test,1456
test,1419
control,1610
control,1499
control,1598
test,1408
test,1594
test,1490
control,1714
test,1215
test,1366
test,1228
test,1567
test,1903
control,1897
test,1737
test,1544
control,1665
control,1660
control,1486
test,1494
control,1791
test,1885
control,1300
test,1724
test,1901
test,1680
control,1629
test,1233
test,899
control,1642
test,1670
control,1020
test,1626
test,1732
control,1238
test,2112
control,1675
test,1657
test,990
control,1569
test,1214
control,1603
control,1354
test,944
test,1153
test,1529
test,1558
test,1487
control,1168
control,1768
control,1685
test,1125
test,1796
test,1757
test,1783
control,1260
test,1844
control,1147
test,1331
control,1982
test,1539
test,1839
